Sheet,Cell,Cell Data,Time-Stamp,Comment
Mar,G44,Oblique Lunges - Plate,9:02PM Mar 31,5kg plate
Mar,G46,Leg Press - Machine,9:10PM Mar 31,Working weight 100kg
Apr,H8,Pectoral Flys - Cable,1:28PM Apr 1,Working weight 49.5kg
Apr,H5,Bench Press - Flat - Barbell,1:43PM Apr 1,Working weight 60kg (5 and 4 reps) keep pushjng
Apr,H7,Bench Press - Decline - Barbell,1:56PM Apr 1,Working weight 60kg
Apr,H6,Bench Press - Incline - Dumbell,2:12PM Apr 1,Reduced to 18kg DBs to try and get more reps out of the exercise
Apr,H12,Bent-Over Rows - Barbell,2:29PM Apr 1,"New working weight 50kg, down from 60kg to get the 8 reps with the new grip"
Apr,H12,Bent-Over Rows - Barbell,2:22PM Apr 1,"Changing grip indefinitely to underhand, feels like it works the biceps and shoulders too for a more compound motikn"
Apr,H10,Face Pull - Cable,2:41PM Apr 1,"New working weight 24.5kg, helps with the one foot forward"
Apr,H11,Lateral Pull Down - Cable,2:51PM Apr 1,Pain in side delt relieved by focusing squeezing my shoulder blades and isolating the movement to my upper back
Apr,H9,Low Pulley Row - Underhand - Cable,3:02PM Apr 1,Peak weight 16
Apr,C15,Lateral Raise - Standing - Dumbell,6:27PM Apr 3,Working weight 10kg DBs
Apr,C14,Shoulder Press - Dumbell,6:37PM Apr 3,Working weight 15kg DBs
Apr,C17,Hip Huggers - Dumbell,6:51PM Apr 3,Working weight 20kg DBs
Apr,C18,Overhead Tricep Extension - One Arm - Dumbell,7:00PM Apr 3,Keep working weight at 8kg DB
Apr,C16,Front Raises - Dumbell,7:09PM Apr 3,Consider using the support of a bar
Apr,C16,Front Raises - Dumbell,6:25PM Apr 3,Working weight 10kg DB
Apr,C19,Tricep Kick-Backs - Dumbell,7:11PM Apr 3,"That being said, 7.5kg works well for 8 reps "
Apr,C19,Tricep Kick-Backs - Dumbell,7:07PM Apr 3,Beginning to realise this one feels better at more reps and lower weight
Apr,C20,Rear Extension - V-Bar - Cable,7:25PM Apr 3,"Peak 21.25kg, keep at 1 lower, too hard to get into position and hurts hands at that weight"
Apr,C21,Tricep Extension Pulldown - Cable,7:27PM Apr 3,Triceps and Shoulders fucking exhausted by this point
Apr,E14,Crunches - Weighted - Cable,7:52PM Apr 5,Working weight 40
Apr,E16,Leg Raises - Straight Leg Resting - Body,7:57PM Apr 5,"Three weights each leg, sets of 12"
Apr,E18,Curls - Simple - Dumbell,8:12PM Apr 5,Working weight 12.5kg DBs from seated upright position
Apr,E20,Curls - Overhand - Barbell,8:24PM Apr 5,Working weight 17.5kg
Apr,E21,Wrist Flexion - Cable,8:27PM Apr 5, (edited 8:27
Apr,E21,Wrist Flexion - Cable,8:23PM Apr 5,Working weight 8.75kg done in conjunction with overhand curls
Apr,E19,Curls - Cable,8:32PM Apr 5,Working weight 21kg focus on form and reps
Apr,E17,Kneeling Rope Crunch - Cable,8:38PM Apr 5,"Working weight 31.5kg, feel like I"
Apr,E13,"5 - Abs, Biceps, Forearms",6:49PM Apr 6,This is shit. Change the program
Apr,F14,Pectoral Flys - Cable,7:01PM Apr 6,New working weight 52kg tough
Apr,F15,Bench Press - Flat - Barbell,7:11PM Apr 6,No spotter working weight 57.5kg for reps of 6
Apr,F17,Bench Press - Decline - Barbell,7:25PM Apr 6,Working weight 60kg
Apr,F16,Upper Chest Pullover - Dumbell,7:37PM Apr 6,Working weight 16kg DB for 3 sets
Mar,B46,ISO Lateral Row - Machine,7:38PM Apr 6,Re-opened
Mar,B46,ISO Lateral Row - Machine,7:38PM Apr 6,Marked as resolved
Mar,B46,ISO Lateral Row - Machine,2:31PM Mar 26,Working weight 80kg
Mar,B46,ISO Lateral Row - Machine,2:24PM Mar 26,"Neutral grip this time, wide grip cable rows"
Mar,B46,ISO Lateral Row - Machine,2:23PM Mar 26,Neutral grip - Mid back
Exercises,E29,ISO Lateral Row,7:39PM Apr 6,Neutral grip - Mid back
Apr,F20,ISO Lateral Row - Machine,7:53PM Apr 6,"New wide grip working weight 80kg, sacrifice of technique though for 8 reps, consider dropping depending on confidence"
Apr,F20,ISO Lateral Row - Machine,7:47PM Apr 6,Wide grip
Apr,F21,Lateral Pull Down - Cable,8:07PM Apr 6,Working weight 15
Apr,F18,Low Pulley Row - Overhand - Cable,8:27PM Apr 6,New working weight 18
Apr,F19,Face Pull - Cable,8:38PM Apr 6,Working weight 24.5kg
Apr,H14,Squat - Front - Barbell,12:00PM Apr 8,New working weight 65kg
Apr,H15,Squat - Back - Barbell,12:37PM Apr 8,Working weight 85kg
Apr,H16,Good Mornings - Barbell,12:40PM Apr 8,New peak 60kg using much lower bend
Apr,H17,Oblique Lunges - Plate,1:00PM Apr 8,Working weight 5kg plate 4 sets
Apr,H18,Leg Press - Machine,1:11PM Apr 8,Primal strength working weight 90kg
Apr,H20,Calf Raises - Bent Leg - Machine,1:22PM Apr 8,Working weight 20kg
Apr,H19,Hamstring Curls - Cable,1:42PM Apr 8,New peak 55kg
Apr,H21,Calf Raises - Barbell,1:47PM Apr 8,Working weight 50kg with a ten under each foot. Can
Apr,C24,Lateral Raise - Standing - Dumbell,11:27AM Apr 10,Working weight 10kg DBs (fire alarm)
Apr,C25,Front Raises - Dumbell,11:31AM Apr 10,Working weight 10kg DBs
Apr,C26,Hip Huggers - Dumbell,11:47AM Apr 10,Working weight 20kg DBs
Apr,C29,Overhead Tricep Extension - One Arm - Dumbell,11:53AM Apr 10,Working weight 8kg DB
Apr,C28,Tricep Kick-Backs - Dumbell,12:01PM Apr 10,"Working weight 7.5kg DB, tough on the left arm"
Apr,C27,Bench Press - Narrow Grip - Barbell,12:13PM Apr 10,Working weight 50kg
Apr,C30,Tricep Extension Pulldown - Cable,12:19PM Apr 10,Working weight 50kg
Apr,C30,Tricep Extension Pulldown - Cable,12:17PM Apr 10,Maida numbers not in kg
Exercises,E23,Straight Arm Pushdown,5:33PM Apr 11,Try with face pull cables
Apr,F23,Kneeling Rope Crunch - Cable,5:34PM Apr 13,New working weight 35
Apr,F24,Crunches - Weighted - Cable,5:52PM Apr 13,Working weight 40
Apr,F25,Leg Raises - Straight Leg Resting - Body,5:53PM Apr 13,Restarted creatine and getting back on calorie counting
Apr,F25,Leg Raises - Straight Leg Resting - Body,5:55PM Apr 13,"Do bent leg next time, feeling it most in my hip flexors"
Apr,F25,Leg Raises - Straight Leg Resting - Body,5:53PM Apr 13,3 weights each ankle sets of 10 for the first 3
Apr,F26,Curls - Wide Grip - Barbell,6:06PM Apr 13,"Working weight 25kg, 10 reps for first ww set, consider raising to two 10kg plates next week"
Apr,F27,Curls - Concentration - Dumbell,6:19PM Apr 13,Working weight 12kg DB
Apr,F27,Curls - Concentration - Dumbell,6:13PM Apr 13,Big fan of these
Apr,F28,Curls - Incline - Dumbell,6:29PM Apr 13,Easier to perform as hammer curls
Apr,F28,Curls - Incline - Dumbell,6:25PM Apr 13,Biceps exhausted. Working sets of 7 with 12kg DBs
Exercises,E33,Curls - Incline,6:29PM Apr 13,Easier to perform as hammer curls
Apr,F29,Wrist Flexion - Cable,6:40PM Apr 13,"Actually a wrist extension l, like a mini curl"
Apr,F29,Wrist Flexion - Cable,6:36PM Apr 13,From below
Apr,F30,Wrist Flexion - Cable,6:43PM Apr 13,New working weight 11.25
Apr,F30,Wrist Flexion - Cable,6:36PM Apr 13,From above
Apr,G23,Squat - Front - Barbell,6:58PM Apr 14,Working weight 65kg (tough)
Apr,G26,Deadlift - Barbell,7:14PM Apr 14,Working weight 70kg
Apr,G28,Good Mornings - Barbell,7:27PM Apr 14,Working weight 60kg
Apr,G27,Hamstring Curls - Cable,7:39PM Apr 14,Working weight 10kg per leg
Apr,G24,Squat - Back - Barbell,8:01PM Apr 14,"Working weight 85kg, inc to 90 next time. Managed 10 reps on the last set"
Apr,G29,Calf Raises - Bent Leg - Machine,8:12PM Apr 14,Calf super sets
Apr,G29,Calf Raises - Bent Leg - Machine,8:11PM Apr 14,Working weight 20kg
Apr,G30,Calf Raises - Straight Leg - Machine,8:12PM Apr 14,Calf super sets
Apr,G30,Calf Raises - Straight Leg - Machine,8:11PM Apr 14,Working weight 70kg
Apr,G25,Oblique Lunges - Plate,8:36PM Apr 14,Working weight 5kg plate
Apr,H27,ISO Lateral Row - Machine,3:57PM Apr 15,"Working weight 80kg, increase next time"
Apr,H27,ISO Lateral Row - Machine,11:48AM Apr 14,Narrow grip
Apr,H28,Seated Pulley Row - V-Grip - Cable,4:05PM Apr 15,Working weight 16 (tough)
Apr,H30,Abduction Row - Dumbell,4:24PM Apr 15,Working weight 28kg DB (tough)
Apr,H29,Face Pull - Cable,4:38PM Apr 15,Working weight 24.5
Apr,H23,Bench Press - Lateral - Machine,4:52PM Apr 15,New peak weight 50kg
Apr,H26,Pectoral Flys - Cable,4:58PM Apr 15,Working weight 52
Apr,H24,Bench Press - Decline - Barbell,5:14PM Apr 15,6 working set reps at 60kg
Apr,H25,Bench Press - Incline - Dumbell,5:26PM Apr 15,Working weight 18kg DBs
Apr,C35,Tricep Kick-Backs - Dumbell,6:05PM Apr 17,3 working super sets with OTE 8kg DB
Apr,C32,Overhead Tricep Extension - One Arm - Dumbell,6:05PM Apr 17,3 working super sets with OTE 8kg DB
Apr,C38,Lateral Raise - Standing - Dumbell,6:20PM Apr 17,Working weight 10kg DBs
Apr,C34,Tricep Extension Pulldown - Cable,6:35PM Apr 17,Just squeaked in a new peak weight 31.25 (only just)
Apr,C33,Rear Extension - V-Bar - Cable,6:40PM Apr 17,"Working weight 18.75, have to push hands together for last few reps (tough)"
Apr,C33,Rear Extension - V-Bar - Cable,5:57PM Apr 17,Rope variation
Apr,C37,Shrugs - Dumbell,6:51PM Apr 17,Ugly working sets 70kg
Apr,C23,Shoulder Press - Dumbell,6:52PM Apr 17,Working weight 15kg DBs
Apr,C39,Scoop Press - Dumbell,7:01PM Apr 17,Working weight 12kg DBs
Apr,C36,Shoulder Press - Dumbell,7:16PM Apr 17,New working weight 16kg DBs
Apr,D32,Kneeling Rope Crunch - Cable,6:07PM Apr 18,New working weight 36.25
Apr,D33,Crunches - Weighted - Cable,6:11PM Apr 18,New peak weight 45
Apr,D34,Leg Raises - Bent Leg Resting - Body,6:18PM Apr 18,Still sore on hip flexors
Apr,D34,Leg Raises - Bent Leg Resting - Body,6:16PM Apr 18,Working sets of 10 with 4 weights on each ankle
Apr,D35,Curls - Wide Grip - Barbell,6:35PM Apr 18,New working weight 27.5kg (2 x 10kg plates!)
Apr,D36,Curls - Concentration - Dumbell,6:52PM Apr 18,Fuckin mingin supersets with incline. Working weight 12kg DBs (very tough)
Apr,D37,Curls - Incline - Dumbell,6:52PM Apr 18,Supersets with concentration. Working weight 12kg DBs
Apr,D38,Seated Pulley Row - V-Grip - Cable,7:09PM Apr 18,Working weight 16
Apr,D39,Abduction Row - Dumbell,7:20PM Apr 18,Working weight 28kg DB
Apr,F36,Overhead Tricep Extension - One Arm - Dumbell,6:21PM Apr 20,"Working super sets, OTE TKB 8kg DB, increase next time for peak"
Apr,F37,Bench Press - Narrow Grip - Barbell,6:34PM Apr 20,Working weight 50kg
Apr,F32,Shoulder Press - Dumbell,6:46PM Apr 20,Working weight 16kg DBs
Apr,F35,Upright Row - Barbell,6:56PM Apr 20,"New peak weight 35kg, prefer hip huggers"
Apr,F34,Shrugs - Dumbell,7:12PM Apr 20,New working weight 80kg
Apr,F38,Rear Extension - V-Bar - Cable,7:17PM Apr 20,3 working sets of 18.75
Apr,F38,Rear Extension - V-Bar - Cable,7:12PM Apr 20,Rope variation
Apr,F33,Scoop Press - Dumbell,7:28PM Apr 20,3 working sets with 12kg DBs. WS2:7
Apr,G32,Low Pulley Row - Overhand - Cable,10:15AM Apr 21,S
Apr,G32,Low Pulley Row - Overhand - Cable,6:02PM Apr 21,Working weight 18
Apr,G33,Face Pull - Cable,6:12PM Apr 21,New working weight 28
Apr,G34,Bent-Over Rows - Barbell,6:41PM Apr 21,New peak weight 60kg
Apr,G34,Bent-Over Rows - Barbell,6:13PM Apr 21,Underhand
Apr,G35,Lateral Pull Down - Machine,6:41PM Apr 21,New peak weight 100kg
Exercises,E87,Good Mornings,6:54PM Apr 21,Use the steps
Apr,G36,Bench Press - Flat - Barbell,6:59PM Apr 21,Peak weight 60kg for 6 reps (up 2 from last)
Apr,G38,Bench Press - Decline - Barbell,7:11PM Apr 21,New working weight (official) 60kg
Apr,G37,Upper Chest Pullover - Dumbell,7:29PM Apr 21,New peak weight 18kg DB (easy)
Apr,G39,Pectoral Flys - Cable,8:15PM Apr 22,Working weight 52
Apr,D41,Overhead Tricep Extension - One Arm - Dumbell,10:41AM Apr 25,Supersets of OTE 
Apr,D42,Tricep Kick-Backs - Dumbell,10:55AM Apr 25,Supersets of OTE 
Apr,D43,Rear Extension - V-Bar - Cable,11:02AM Apr 25,Working weight techno gym 20
Apr,D44,Tricep Extension Pulldown - Cable,11:08AM Apr 25,Working weight techno gym 22.5
Apr,D45,Lateral Raise - Standing - Dumbell,11:15AM Apr 25,Working weight 10kg DBs
Apr,D46,Scoop Press - Dumbell,11:22AM Apr 25,WW 10kg DBs
Apr,D46,Scoop Press - Dumbell,11:21AM Apr 25,Supposed to be WW 12kg DBs
Apr,D48,Upright Row - Barbell,11:35AM Apr 25,Peak weight techno gym 30
Apr,D47,Shrugs - Dumbell,11:38AM Apr 25,Working weight techno gym 50
May,C5,Bench Press - Incline - Dumbell,2:57PM May 1,Working weight 18kg DBs
May,C7,Pectoral Flys - Cable,3:05PM May 1,Working weight 52
May,C6,Bench Press - Decline - Barbell,3:17PM May 1,Working sets of 6 at 60kg
May,C8,Straight Arm Pushdown - Cable,3:35PM May 1,Rope - alternating between straight and pulling to hips
May,C8,Straight Arm Pushdown - Cable,3:29PM May 1,Working weight 24.5
May,C9,Face Pull - Cable,3:35PM May 1,Correction - New peak weight 31.5
May,C9,Face Pull - Cable,3:29PM May 1,Working weight 28
May,C10,Abduction Row - Dumbell,3:48PM May 1,Working weight 28kg DB
May,C13,Curls - Hammer - Dumbell,4:03PM May 1,Fucking tough working weight of 12kg DBs
May,C13,Curls - Hammer - Dumbell,3:59PM May 1,Performed standing
May,C12,Curls - Concentration - Dumbell,4:04PM May 1,Working weight 12kg DB
May,C11,Curls - Wide Grip - Barbell,4:17PM May 1,"Failed (6) 3rd set at 27.5kg, reducing working weight to 25kg"
May,D4,"2 - Shoulders, Triceps, Forearms",9:00AM May 2,85.5kg Pre Poo - 85.1kg Post
May,D5,Shoulder Press - Dumbell,5:54PM May 2,Working weight 16kg DBs
May,D7,Front Raises - Dumbell,6:08PM May 2,Nasty working weight 10kg DBs (tough)
May,D8,Lateral Raise - Standing - Dumbell,6:08PM May 2,Working weight 10kg DBs
May,D6,Hip Huggers - Dumbell,6:26PM May 2,Working weight 20kg DBs (with shrug)
May,D10,Tricep Kick-Backs - Dumbell,6:36PM May 2,New working weight 10kg DBs
May,D9,Tricep Extension Pulldown - Rope - Cable,6:48PM May 2,New working weight 24.5
May,D11,Bench Press - Narrow Grip - Barbell,6:56PM May 2,Tough being the last tricep ex. Working weight 50kg
Exercises,E109,Curls - Overhand,7:07PM May 2,Brachialis
May,D13,Curls - Overhand - Barbell,7:13PM May 2,New peak weight 20kg
May,D13,Curls - Overhand - Barbell,7:12PM May 2,Failed working weight attempt 22.5kg (6)
May,D12,Wrist Flexion - Cable,7:23PM May 2,Indefinitely changed to off the floor (mini forearm curls) working weight 11.25. Be careful of left wrist
May,E4,3 - Weight: 86.3kg - 86.8kg,8:20PM May 3,"Feel pretty fucked, upper chest and shoulders"
May,F6,Bench Press - Flat - Barbell,6:20PM May 4,New working weight 60kg!!
May,F7,Low Pulley Row - Underhand - Cable,6:34PM May 4,New working weight 16
May,F8,Lateral Pull Down - Machine,6:47PM May 4,Scraped the second
May,F8,Lateral Pull Down - Machine,6:45PM May 4,Scraped the first working set
May,F8,Lateral Pull Down - Machine,6:43PM May 4,New working weight 100kg
May,F9,ISO Lateral Row - Machine,6:58PM May 4,"Working weight 80kg, told to increase but doesn"
May,F10,Straight Arm Pushdown - Cable,7:11PM May 4,Attempted peak 28 failed. Working weight 24.5
May,F13,Overhead Tricep Extension - One Arm - Dumbell,7:26PM May 4,Failed peak weight 10kg DB (7:R 3:L). Working weight 8kg
May,F12,Tricep Extension Pulldown - Rope - Cable,7:37PM May 4,Very tough working weight 24.5 (Middle machines not sure if they
May,F11,Rear Extension - Rope - Cable,7:39PM May 4,Very tough working weight 17.5
May,F5,Pectoral Flys - Cable,7:40PM May 4,Busy all session
May,G4,5 - Weight: 85.6kg,10:19AM May 5,"Multiple readings at 84.7kg, but doesn't seem reasonable"
May,H5,Squat - Front - Barbell,12:43PM May 6,Working weight 65kg (tough)
May,H7,Squat - Back - Barbell,1:14PM May 6,New working weight 90kg
May,H6,Hamstring Curls - Cable,1:26PM May 6,New working weight 30kg
May,H11,Shrugs - Dumbell,1:50PM May 6,Working weight 70kg
May,H12,Scoop Press - Dumbell,1:51PM May 6,New working weight 12.5kg (tough)
May,H13,Lateral Raise - Bent Over - Dumbell,1:51PM May 6,New working weight 12.5kg DBs
May,H9,Calf Raises - Bent Leg - Machine,2:13PM May 6,New peak weight 25kg
May,H10,Calf Raises - Straight Leg - Machine,2:14PM May 6,Increase by a lot next time. Make sure not too far away from the platform
May,H10,Calf Raises - Straight Leg - Machine,2:13PM May 6,Working weight 70kg
May,H8,Oblique Lunges - Plate,2:30PM May 6,10kg working weight one way
May,H4,"6 - Legs, Calves, Shoulders",2:31PM May 6,Accurate weight at the gym 85.27kg
May,H4,"6 - Legs, Calves, Shoulders",10:05AM May 6,84.7kg
Exercises,E110,Wrist Flexion,8:19PM May 6,Indefinitely changed to off the floor (mini forearm curls)
Exercises,E110,Wrist Flexion,7:07PM May 2,Radialis
May,B14,"7 - Chest, Back, Biceps",12:04PM May 7,"1 working set, short on time"
May,B15,Pectoral Flys - Cable,12:08PM May 7,New peak weight 54
May,B17,Bench Press - Decline - Barbell,12:22PM May 7,New peak weight (8) 60kg
May,B16,Upper Chest Pullover - Dumbell,12:25PM May 7,New peak weight 20kg DB (easy)
May,B18,ISO Lateral Row - Machine,12:33PM May 7,New peak weight 90kg
May,B18,ISO Lateral Row - Machine,12:33PM May 7,Neutral grip
May,B19,ISO Lateral Row - Machine,8:12PM May 6,Working weight 15
May,B20,Low Pulley Row - Overhand - Cable,12:44PM May 7,Shit last 2 reps
May,B20,Low Pulley Row - Overhand - Cable,12:41PM May 7,Working weight 18
Exercises,E35,Curls - Concentration,12:53PM May 7,Make sure to come across the body. For supersets split into 2 mini alternating sets so not to exhaust one arm
May,B22,Curls - Concentration - Dumbell,12:57PM May 7,Working weight 12kg DB
May,B22,Curls - Concentration - Dumbell,12:49PM May 7,Make sure to come across the body. For supersets split into 2 mini alternating sets so not to exhaust one arm
May,B23,Curls - Incline - Dumbell,12:57PM May 7,Working weight 12kg DBs
May,C15,Tricep Kick-Backs - Dumbell,2:46PM May 8,Working weight 10kg DB (tough)
May,C16,Overhead Tricep Extension - One Arm - Dumbell,2:50PM May 8,Left arm 6 reps working weight
May,C16,Overhead Tricep Extension - One Arm - Dumbell,2:46PM May 8,Working weight 10kg DB (tough)
May,C18,Rear Extension - Rope - Cable,2:57PM May 8,"New technique pulling from lower, new working weight 13.75"
May,C17,Tricep Extension Pulldown - Rope - Cable,3:00PM May 8,Working weight 23.75kg (tough)
May,C17,Tricep Extension Pulldown - Rope - Cable,2:54PM May 8,Previous working weight 24.5 (not accessible)
May,C22,Wrist Flexion - Cable,3:16PM May 8,"Working weight 10, do reps till it burns"
May,C23,Curls - Overhand - Barbell,3:16PM May 8,New working weight 20kg sets of 12
May,C19,Shoulder Press - Dumbell,3:37PM May 8,Working weight 16kg DBs
May,C20,Hip Huggers - Dumbell,3:38PM May 8,Working weight 20kg DBs
May,C20,Hip Huggers - Dumbell,8:17PM May 6,Engage rear delt
May,C21,Shrugs - Dumbell,3:47PM May 8,"Working weight 70kg, 8 big clean reps and then blitz mini ones to failure"
May,F4,"4 - Chest, Back, Triceps",10:03AM May 10,Testing 2800 from the 10th May
May,F4,"4 - Chest, Back, Triceps",5:19PM May 10,50th Session!!!
May,F4,"4 - Chest, Back, Triceps",10:32AM May 4,"Upper chest hit hard at the start of the week, adding an extra back exercise"
May,F4,"4 - Chest, Back, Triceps",8:30AM May 4,86.25kg-86.6kg
May,C25,Squat - Front - Barbell,7:30PM May 15,Working weight 65kg
May,C27,Squat - Back - Barbell,7:53PM May 15, (edited 7:53
May,C27,Squat - Back - Barbell,7:50PM May 15,"Working weight 90kg (very tough, not feeling up to it)"
May,C32,Calf Raises - Bent Leg - Machine,8:14PM May 15,Working weight 25kg
May,C33,Calf Raises - Straight Leg - Machine,8:15PM May 15,Working weight 60kg (was supposed to be 80 (accident))
May,C29,Bench Press - Narrow Grip - Barbell,8:33PM May 15,New peak weight 55kg
May,C30,Rear Extension - Rope - Cable,8:45PM May 15,13.75 working weight
May,C31,Tricep Extension Pulldown - Rope - Cable,8:45PM May 15,Working weight 24.5
May,C26,Hamstring Curls - Cable,8:57PM May 15,New peak weight 35kg
May,C28,Leg Press - Machine,10:42AM May 16,"Working weight 100kg, seat tilted back"
May,E25,Bench Press - Incline - Dumbell,6:08PM May 17,New peak weight 20kg DBs
May,E26,Upper Chest Pullover - Dumbell,6:17PM May 17,Working weight 20kg DB
May,E27,Bench Press - Lateral - Machine,6:30PM May 17,New working weight 50kg
Exercises,E24,Straight Arm Pushdown - Rope,6:39PM May 17,Great upper back connection
May,E28,Face Pull - Cable,6:47PM May 17,Working weight 28
May,E30,Low Pulley Row - Overhand - Cable,7:00PM May 17,Working weight 18
May,E32,Curls - Incline - Dumbell,7:11PM May 17,Working weight 12kg DBs
May,E31,Curls - Hammer - Cross Body - Dumbell,7:21PM May 17,Loose definition of working. Reduce to a working weight of 10kg DBs
May,E31,Curls - Hammer - Cross Body - Dumbell,7:14PM May 17,Working sets split into two micro sets
May,E31,Curls - Hammer - Cross Body - Dumbell,7:11PM May 17,Working weight 12kg DBs
May,E33,Crunches - Weighted - Cable,7:31PM May 17,Working weight 45
May,G25,Lateral Raise - Bent Over - Dumbell,5:45PM May 19,Working weight 12.5kg DBs
May,G26,Scoop Press - Dumbell,5:45PM May 19,Working weight 12.5kg DBs
Exercises,E41,Overhead Tricep Extension - One Arm,6:06PM May 19,Save your front delts for this one
Exercises,E41,Overhead Tricep Extension - One Arm,9:41AM Apr 13,Keep elbows pinned and back
May,G27,Shrugs - Barbell,6:07PM May 19,New peak weight 80kg
May,G28,Tricep Kick-Backs - Dumbell,6:07PM May 19,Working weight 10kg DB (tough)
May,G29,Overhead Tricep Extension - One Arm - Dumbell,6:08PM May 19,Working weight 10kg DB (tough)
May,G30,Rear Extension - Rope - Cable,6:23PM May 19,Working weight 13.75
May,G31,Tricep Extension Pulldown - Rope - Cable,6:24PM May 19,Working weight 24.5 (tough with it being the second super set)
May,G33,Curls - Overhand - Barbell,6:34PM May 19,Working weight 20kg
May,G32,Wrist Flexion - Cable,6:47PM May 19,New working weight 12.5
May,C37,Bench Press - Decline - Barbell,6:23PM May 22,Working weight 52kg (made tough with the 1s pause)
May,C36,Bench Press - Decline - Barbell,6:41PM May 22,Working weight 60kg (inc to 65kg)
May,C35,Bench Press - Lateral - Machine,6:53PM May 22,Working weight 50kg
May,C38,Straight Arm Pushdown - Rope - Cable,7:11PM May 22,New peak weight 28 (very tough)
May,C39,Face Pull - Cable,7:12PM May 22,Working weight 28
May,C41,Curls - Concentration - Dumbell,7:33PM May 22,Working weight 10kg DB (dropped due to bad form last time) 3 WW sets
May,C42,Curls - Incline - Dumbell,7:33PM May 22,Working weight 12kg DBs
May,C43,Crunches - Weighted - Cable,7:39PM May 22,Working weight 28kg DB (very tough)
May,C43,Crunches - Weighted - Cable,7:42PM May 22,Working weight 45
May,C40,Abduction Row - Dumbell,10:52AM May 23,Working weight 28kg DB (very tough)
May,E35,Shoulder Press - Dumbell,5:39PM May 24,Working weight 16kg DBs (tough)
May,E36,Hip Huggers - Dumbell,5:51PM May 24,"New working weight 22kg DBs ROM feels limited though, consider doing less frequently"
May,E36,Hip Huggers - Dumbell,5:39PM May 24,Engage rear delt
May,E37,Lateral Raise - Bent Over - Dumbell,6:05PM May 24,Working weight 12.5kg DBs
May,E38,Front Raises - Dumbell,6:06PM May 24,Working weight 10kg DBs
May,E39,Rear Extension - Rope - Cable,6:19PM May 24,Working weight 13.75
May,E40,Tricep Extension Pulldown - Rope - Cable,6:19PM May 24,Working weight 24.5
May,E41,Tricep Kick-Backs - Dumbell,6:31PM May 24,Working weight 10kg DBs
May,E43,Wrist Extension - Cable,6:35PM May 24,Working weight 15 (tough)
May,E43,Wrist Extension - Cable,6:34PM May 24,Begun 2 handed
May,E42,Wrist Flexion - Cable,6:37PM May 24,Working weight 21
May,E42,Wrist Flexion - Cable,6:34PM May 24,Begun 2 handed
May,F36,Pectoral Flys - Cable,6:31PM May 25,New peak weight 54
May,F35,Bench Press - Flat - Barbell,6:44PM May 25,Working weight 60kg missed the first ww set by 2
May,F37,Bench Press - Decline - Barbell,7:01PM May 25,"New working weight 62.5kg (fucking awful, had a spotter though)"
May,F38,ISO Lateral Row - Wide - Machine,7:22PM May 25,New peak weight 85kg (tough)
May,F40,Straight Arm Pushdown - Rope - Cable,7:32PM May 25,"Working weight 28, can"
May,F41,Face Pull - Cable,7:33PM May 25,Working weight 28
May,F42,Curls - Wide Grip - Barbell,7:44PM May 25,Working weight 27.5kg
May,H35,Squat - Front - Barbell,11:38AM May 27,Working weight 65kg
May,H36,Squat - Back - Barbell,11:40AM May 27,Lowered working weight to 80kg from 90kg (actually failed last week anyway) due to knee pain
May,H37,Good Mornings - Barbell,12:04PM May 27,Seated - new ww 50kg
May,H38,Hamstring Curls - Cable,12:10PM May 27,Unknown machine
May,H41,Tricep Kick-Backs - Dumbell,12:31PM May 27,Working weight 10kg DB
May,H39,Rear Extension - Rope - Cable,12:34PM May 27,Unknown weight
May,H40,Tricep Extension Pulldown - Rope - Cable,12:35PM May 27,Unknown weight
May,H42,Wrist Flexion - Cable,12:37PM May 27,Unknown weight
May,H43,Wrist Extension - Cable,12:37PM May 27,Unknown weight
May,D45,Shoulder Press - Dumbell,6:30PM May 30,New peak weight 17.5kg
May,D46,Front Raises - Dumbell,6:42PM May 30,Working weight 10kg
May,D47,Lateral Raise - Bent Over - Dumbell,6:42PM May 30,Working weight 12.5kg
May,D48,Shrugs - Barbell,7:00PM May 30,New Working weight 80kg
May,D51,Bent-Over Rows - Barbell,7:10PM May 30,Working weight 60kg
May,D50,ISO Lateral Row - Neutral - Machine,7:29PM May 30,Working weight 90kg
May,D49,Lateral Pull Down - Machine,7:49PM May 30,"Working weight 100kg, bring down to 90kg and do 10 reps after looking at tech"
May,D52,Face Pull - Cable,7:54PM May 30,Unknown WW
May,D53,Straight Arm Pushdown - Rope - Cable,7:54PM May 30,Unknown WW
Jun,G5,Pectoral Flys - Cable,6:45PM Jun 2,Working weight 54
Jun,G6,Bench Press - Flat - Barbell,6:53PM Jun 2,Working weight 60kg (6 reps set 1)
Jun,G7,Bench Press - Incline - Barbell,7:13PM Jun 2,"Working weight 18kg DBs, increase next time"
Jun,G8,Tricep Kick-Backs - Dumbell,7:20PM Jun 2,Working weight 10kg DBs
Jun,G10,Tricep Extension Pulldown - Rope - Cable,7:39PM Jun 2,"Attempted 25, failed, dropping to 23.75"
Jun,G9,Rear Extension - Rope - Cable,7:40PM Jun 2,Working weight 13.75
Jun,G12,Curls - Incline - Dumbell,7:54PM Jun 2,Working weight 12kg DBs
Jun,G13,Curls - Concentration - Dumbell,7:55PM Jun 2,Working weight increased back to 12kg DB
